Neighborhood,PostalCode Latitude,PostalCode Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Bouldin,30.25187995040187,-97.75555649172945,Uchi,30.25759427998056,-97.75989112033848,Japanese Restaurant
Bouldin,30.25187995040187,-97.75555649172945,Lucky Robot Japanese Kitchen,30.25094281793113,-97.74916470323556,Japanese Restaurant
Bouldin,30.25187995040187,-97.75555649172945,Soto - South Lamar,30.255706447823812,-97.76186987135137,Japanese Restaurant
Bouldin,30.25187995040187,-97.75555649172945,Otoko,30.24767756120033,-97.74999782581372,Sushi Restaurant
Bouldin,30.25187995040187,-97.75555649172945,Ramen Tatsu-ya,30.25389531735043,-97.76313448192407,Ramen Restaurant
Bouldin,30.25187995040187,-97.75555649172945,Dawa Sushi Kimchi,30.251554,-97.753995,Sushi Restaurant
Bouldin,30.25187995040187,-97.75555649172945,Chi'lantro,30.25218261457109,-97.76405162204173,Korean Restaurant
Bouldin,30.25187995040187,-97.75555649172945,Dawa Sushi Kimchi,30.251554,-97.753995,Korean Restaurant
Bouldin,30.25187995040187,-97.75555649172945,Ramen Tatsu-ya,30.25389531735043,-97.76313448192407,Noodle House
Bouldin,30.25187995040187,-97.75555649172945,Elizabeth St. Café,30.24982842100761,-97.75482850985779,Vietnamese Restaurant
Bouldin,30.25187995040187,-97.75555649172945,Sway Thai,30.250163222203394,-97.7547002010387,Thai Restaurant
Bouldin,30.25187995040187,-97.75555649172945,Little Thai Food,30.25174125366068,-97.75392115334162,Thai Restaurant
Bouldin,30.25187995040187,-97.75555649172945,Thai Fresh,30.24806771479737,-97.76167227228875,Thai Restaurant
Bouldin,30.25187995040187,-97.75555649172945,Eat Ban Mi,30.254391565739258,-97.74777419512964,Vietnamese Restaurant
Bouldin,30.25187995040187,-97.75555649172945,Mandala Kitchen & Bar,30.25538933290772,-97.76208920490534,Vietnamese Restaurant
MLK 183,30.278141270768568,-97.67172524590252,Pranom Pop-Up,30.277174,-97.66958,Thai Restaurant
MLK 183,30.278141270768568,-97.67172524590252,Ted's Farm Bbq,30.277224363712385,-97.66949644089931,Vietnamese Restaurant
Zilker,30.2552784357782,-97.76834999118768,Uchi,30.25759427998056,-97.75989112033848,Japanese Restaurant
Zilker,30.2552784357782,-97.76834999118768,Loro,30.24768796450878,-97.77146746540994,Japanese Restaurant
Zilker,30.2552784357782,-97.76834999118768,Soto - South Lamar,30.255706447823812,-97.76186987135137,Japanese Restaurant
Zilker,30.2552784357782,-97.76834999118768,Ramen Tatsu-ya,30.25389531735043,-97.76313448192407,Ramen Restaurant
Zilker,30.2552784357782,-97.76834999118768,Chi'lantro,30.25218261457109,-97.76405162204173,Korean Restaurant
Zilker,30.2552784357782,-97.76834999118768,Ramen Tatsu-ya,30.25389531735043,-97.76313448192407,Noodle House
Zilker,30.2552784357782,-97.76834999118768,Krua Urban Thai,30.249131,-97.768441,Thai Restaurant
Zilker,30.2552784357782,-97.76834999118768,TraiMai Tai,30.249508026616564,-97.76709254053897,Thai Restaurant
Zilker,30.2552784357782,-97.76834999118768,Super Thai,30.248756,-97.76927,Thai Restaurant
Zilker,30.2552784357782,-97.76834999118768,Super Thai Cuisine,30.24802020591123,-97.76927590370178,Thai Restaurant
Zilker,30.2552784357782,-97.76834999118768,Mandala Kitchen & Bar,30.25538933290772,-97.76208920490534,Vietnamese Restaurant
Crestview,30.346569491380357,-97.72505347536026,DipDipDip Tatsu-Ya,30.348106,-97.734335,Japanese Restaurant
Crestview,30.346569491380357,-97.72505347536026,Michi Ramen,30.349126896404492,-97.71550369592279,Japanese Restaurant
Crestview,30.346569491380357,-97.72505347536026,Misung 888,30.34821344088586,-97.71493784196291,Korean Restaurant
South Lamar,30.237339602109937,-97.78081249021074,First China,30.241865970708517,-97.7832555770874,Chinese Restaurant
South Lamar,30.237339602109937,-97.78081249021074,Michi Ramen,30.2415942255846,-97.78421531893609,Japanese Restaurant
South Lamar,30.237339602109937,-97.78081249021074,Thai-Ful Rolls By Thai2U,30.229767197640154,-97.78580630238852,Thai Restaurant
Rosedale,30.317220952051976,-97.74831020450134,Spicy Szechuan,30.309334999999997,-97.75140400000001,Chinese Restaurant
Rosedale,30.317220952051976,-97.74831020450134,Maru Japanese Restaurant,30.317909257344578,-97.74016180150817,Japanese Restaurant
Rosedale,30.317220952051976,-97.74831020450134,Poke-Poke,30.32481800143021,-97.74329257184993,Sushi Restaurant
Rosedale,30.317220952051976,-97.74831020450134,Dawa,30.321164,-97.739722,Japanese Restaurant
Rosedale,30.317220952051976,-97.74831020450134,Wat Zab Thai,30.321339,-97.739543,Thai Restaurant
Rosedale,30.317220952051976,-97.74831020450134,Kuway's Banh Mi,30.314966,-97.74141800000001,Vietnamese Restaurant
Riverside,30.239515512915613,-97.72848801889572,Kim Phung Restaurant - Riverside,30.238419556628845,-97.72705048956585,Chinese Restaurant
Riverside,30.239515512915613,-97.72848801889572,China Express,30.242259954155674,-97.72948234796837,Chinese Restaurant
Riverside,30.239515512915613,-97.72848801889572,Java Garden,30.234173,-97.720603,Chinese Restaurant
Riverside,30.239515512915613,-97.72848801889572,Joy East China Buffet,30.237232511564855,-97.72389736299196,Chinese Restaurant
Riverside,30.239515512915613,-97.72848801889572,Chi'lantro,30.24377133263751,-97.72823931768949,Korean Restaurant
Riverside,30.239515512915613,-97.72848801889572,Kim Phung Restaurant - Riverside,30.238419556628845,-97.72705048956585,Thai Restaurant
Riverside,30.239515512915613,-97.72848801889572,Thai Kruefha,30.24210670429822,-97.72827969664952,Thai Restaurant
Riverside,30.239515512915613,-97.72848801889572,1618 Asian Fusion,30.245418,-97.730483,Thai Restaurant
Riverside,30.239515512915613,-97.72848801889572,Pho Please,30.24306234040976,-97.72808197047426,Vietnamese Restaurant
Riverside,30.239515512915613,-97.72848801889572,Kim Phung Restaurant - Riverside,30.238419556628845,-97.72705048956585,Vietnamese Restaurant
Wells Branch,30.44395501338458,-97.67880256305553,Four Seasons Chinese Restaurant,30.446319134286888,-97.68573113450189,Chinese Restaurant
Wells Branch,30.44395501338458,-97.67880256305553,Chow Town,30.44622,-97.68554,Chinese Restaurant
Wells Branch,30.44395501338458,-97.67880256305553,Chen's Kitchen,30.43589,-97.68298,Chinese Restaurant
Wells Branch,30.44395501338458,-97.67880256305553,Oasis,30.4460515,-97.685363,Korean Restaurant
Central East Austin,30.2700425580448,-97.72419366789926,Old Thousand,30.26948950104357,-97.72981886173937,Chinese Restaurant
Central East Austin,30.2700425580448,-97.72419366789926,Fukumoto,30.264756720999674,-97.7316502506837,Japanese Restaurant
Central East Austin,30.2700425580448,-97.72419366789926,Ramen Tatsu-ya,30.263070914588642,-97.7264026159125,Ramen Restaurant
Central East Austin,30.2700425580448,-97.72419366789926,Domo Alley-Gato Tatsu-Ya,30.26300460470212,-97.72622541986655,Restaurant
Central East Austin,30.2700425580448,-97.72419366789926,Ramen Tatsu-ya,30.263070914588642,-97.7264026159125,Noodle House
Central East Austin,30.2700425580448,-97.72419366789926,East Side King Thai-kun,30.26205472810993,-97.72258198804293,Thai Restaurant
Central East Austin,30.2700425580448,-97.72419366789926,Thai Kruefha,30.269211,-97.728435,Thai Restaurant
Central East Austin,30.2700425580448,-97.72419366789926,Bua Loy Thai Cuisine,30.26399,-97.73,Thai Restaurant
Central East Austin,30.2700425580448,-97.72419366789926,Thai-Kun at Whisler's,30.261943,-97.722557,Thai Restaurant
Old West Austin,30.27569601882151,-97.76082462719003,Lin Asian Bar + Dim Sum Restaurant,30.27286216354746,-97.75797745504693,Chinese Restaurant
Old West Austin,30.27569601882151,-97.76082462719003,Sushi Zushi,30.274586183145995,-97.7646922692923,Japanese Restaurant
Old West Austin,30.27569601882151,-97.76082462719003,Sixth Street Sushi,30.270983,-97.753865,Sushi Restaurant
Sweet Briar,30.19890173442292,-97.77654674423492,Taiwan Chinese Restaurant,30.196661087102676,-97.7853419688695,Chinese Restaurant
Sweet Briar,30.19890173442292,-97.77654674423492,DK Sushi,30.20027258738503,-97.7858903372363,Sushi Restaurant
Sweet Briar,30.19890173442292,-97.77654674423492,DK Sushi,30.20027258738503,-97.7858903372363,Korean Restaurant
Sweet Briar,30.19890173442292,-97.77654674423492,Seoul Resteraunt,30.20046104067168,-97.78568421698567,Korean Restaurant
Sweet Briar,30.19890173442292,-97.77654674423492,Sala Thai Food,30.19390720003456,-97.77487784000883,Thai Restaurant
Upper Boggy Creek,30.290790150396692,-97.71564214068968,Tso Chinese Delivery,30.295672663908075,-97.7172636888855,Chinese Restaurant
Upper Boggy Creek,30.290790150396692,-97.71564214068968,Yoshi Ramen Austin,30.291614146388497,-97.72315893725829,Japanese Restaurant
Georgian Acres,30.351344595828216,-97.69952837269707,Fujian Grand China Buffet,30.350427359221612,-97.69204193990343,Chinese Restaurant
Georgian Acres,30.351344595828216,-97.69952837269707,Tâm Deli and Cafe,30.351489349898166,-97.70868700308652,Vietnamese Restaurant
Chestnut,30.27795143675734,-97.71507576183525,Cuauhtli's Ramen Stand,30.277992994943272,-97.71543521368247,Noodle House
South River City,30.245827933881102,-97.74392636563849,Lucky Robot Japanese Kitchen,30.25094281793113,-97.74916470323556,Japanese Restaurant
South River City,30.245827933881102,-97.74392636563849,Otoko,30.24767756120033,-97.74999782581372,Sushi Restaurant
North Lamar,30.370119727042443,-97.68688707541615,First Chinese BBQ,30.37844468752835,-97.68671173887614,Chinese Restaurant
North Lamar,30.370119727042443,-97.68688707541615,TC Noodle House,30.379091825924693,-97.68703549720286,Chinese Restaurant
North Lamar,30.370119727042443,-97.68688707541615,New Fortune Chinese Seafood Restaurant,30.37784779038532,-97.68809553907404,Cantonese Restaurant
North Lamar,30.370119727042443,-97.68688707541615,China Spice Seafood Restaurant 聚丰园,30.36731,-97.69516,Dim Sum Restaurant
North Lamar,30.370119727042443,-97.68688707541615,Shinjuku Sushi Bar and Ramen,30.36655471724627,-97.69581770262737,Japanese Restaurant
North Lamar,30.370119727042443,-97.68688707541615,Korean Grill,30.378983095137333,-97.68694230024873,Korean Restaurant
North Lamar,30.370119727042443,-97.68688707541615,SeoulJu Korean Kitchen & Bar,30.36471,-97.6945,Korean Restaurant
North Lamar,30.370119727042443,-97.68688707541615,Pho Saigon,30.378036303841842,-97.68720454742908,Vietnamese Restaurant
North Lamar,30.370119727042443,-97.68688707541615,Baguette House & Cafe,30.377137365679467,-97.68682001913672,Vietnamese Restaurant
North Lamar,30.370119727042443,-97.68688707541615,Duy Vietnamese Restaurant,30.378247306157416,-97.68767230631639,Vietnamese Restaurant
North Lamar,30.370119727042443,-97.68688707541615,Lily's Sandwich,30.37834150428237,-97.68725872921915,Vietnamese Restaurant
North Lamar,30.370119727042443,-97.68688707541615,Fresh Tofu,30.377339,-97.686835,Vietnamese Restaurant
North Lamar,30.370119727042443,-97.68688707541615,Le Soleil Restaurant,30.366569331743882,-97.69580662889595,Vietnamese Restaurant
East Cesar Chavez,30.25776809963452,-97.73077582034128,Emmer & Rye,30.25684,-97.73938,Restaurant
East Cesar Chavez,30.25776809963452,-97.73077582034128,Fukumoto,30.264756720999674,-97.7316502506837,Japanese Restaurant
East Cesar Chavez,30.25776809963452,-97.73077582034128,Ramen Tatsu-ya,30.263070914588642,-97.7264026159125,Ramen Restaurant
East Cesar Chavez,30.25776809963452,-97.73077582034128,Osaka Soul,30.26206969579065,-97.72940754890442,Japanese Restaurant
East Cesar Chavez,30.25776809963452,-97.73077582034128,Domo Alley-Gato Tatsu-Ya,30.26300460470212,-97.72622541986655,Restaurant
East Cesar Chavez,30.25776809963452,-97.73077582034128,Oseyo,30.258269,-97.727628,Korean Restaurant
East Cesar Chavez,30.25776809963452,-97.73077582034128,Ramen Tatsu-ya,30.263070914588642,-97.7264026159125,Noodle House
East Cesar Chavez,30.25776809963452,-97.73077582034128,East Side King Thai-kun,30.26205472810993,-97.72258198804293,Thai Restaurant
East Cesar Chavez,30.25776809963452,-97.73077582034128,Dee Dee,30.257233603065956,-97.72397039800622,Thai Restaurant
East Cesar Chavez,30.25776809963452,-97.73077582034128,A Touch of Fire,30.26230699633261,-97.73382232209414,Thai Restaurant
East Cesar Chavez,30.25776809963452,-97.73077582034128,Bua Loy Thai Cuisine,30.26399,-97.73,Thai Restaurant
East Cesar Chavez,30.25776809963452,-97.73077582034128,Thai-Kun at Whisler's,30.261943,-97.722557,Thai Restaurant
East Cesar Chavez,30.25776809963452,-97.73077582034128,The B’s Kitchen,30.257185759793405,-97.72469446046307,Vietnamese Restaurant
East Cesar Chavez,30.25776809963452,-97.73077582034128,Roti Rolls,30.26134117820642,-97.7381983872834,Vietnamese Restaurant
Highland,30.33284442279456,-97.71444332764686,China Family Restaurant,30.333904,-97.716744,Chinese Restaurant
Highland,30.33284442279456,-97.71444332764686,China Palace,30.33078604032427,-97.71534421284464,Chinese Restaurant
Highland,30.33284442279456,-97.71444332764686,Shanghai Chinese Restaurant,30.329225702946445,-97.70699295284588,Chinese Restaurant
Highland,30.33284442279456,-97.71444332764686,Chopsticks,30.33578727172245,-97.71705329418182,Chinese Restaurant
Highland,30.33284442279456,-97.71444332764686,Steamies Dumplings,30.336952,-97.717208,Chinese Restaurant
Highland,30.33284442279456,-97.71444332764686,iBubble Tea & GRILL,30.32396,-97.713624,Chinese Restaurant
Highland,30.33284442279456,-97.71444332764686,101 by Teahaus,30.337086164997892,-97.71711702099554,Taiwanese Restaurant
Highland,30.33284442279456,-97.71444332764686,Kura Revolving Sushi Bar,30.337238948312642,-97.71723239428987,Sushi Restaurant
Highland,30.33284442279456,-97.71444332764686,Cho Sun Gal Bi Korean BBQ & Sushi Bar,30.329763262870078,-97.70663870392065,Korean Restaurant
Highland,30.33284442279456,-97.71444332764686,Rice Ball Co.,30.336601,-97.71737,Japanese Restaurant
Highland,30.33284442279456,-97.71444332764686,Han Yang Market,30.336275164592337,-97.72067798336103,Korean Restaurant
Highland,30.33284442279456,-97.71444332764686,Arirang Restaurant,30.33388586229882,-97.71680150858057,Korean Restaurant
Highland,30.33284442279456,-97.71444332764686,Manna Korean Restaurant,30.336452080976475,-97.72082545684042,Korean Restaurant
Highland,30.33284442279456,-97.71444332764686,Mom's Taste,30.330840000000002,-97.715099,Korean Restaurant
Highland,30.33284442279456,-97.71444332764686,Austin BBgo,30.336186,-97.720279,Korean Restaurant
Highland,30.33284442279456,-97.71444332764686,iBubble Tea & GRILL,30.32396,-97.713624,Korean Restaurant
Highland,30.33284442279456,-97.71444332764686,Michi Ramen,30.333445880284888,-97.72149575227441,Noodle House
Highland,30.33284442279456,-97.71444332764686,Thai Village,30.32625699519032,-97.70777843037378,Thai Restaurant
Highland,30.33284442279456,-97.71444332764686,Heo Eatery,30.331041575817622,-97.7234620473087,Vietnamese Restaurant
Highland,30.33284442279456,-97.71444332764686,The Pho Noodle House,30.323912,-97.714149,Vietnamese Restaurant
St. Edwards,30.227920212205905,-97.75262461334327,Shanding,30.228194652283268,-97.75484583149338,Chinese Restaurant
St. Edwards,30.227920212205905,-97.75262461334327,Hea Cafe,30.22096011798829,-97.756722350535,Chinese Restaurant
St. Edwards,30.227920212205905,-97.75262461334327,Lulu B's,30.22645300862257,-97.7622265009143,Vietnamese Restaurant
St. Edwards,30.227920212205905,-97.75262461334327,Hea Cafe,30.22096011798829,-97.756722350535,Vietnamese Restaurant
North University,30.29665353255234,-97.73671771251846,Mount 8K,30.292865000000003,-97.74176899999999,Himalayan Restaurant
North University,30.29665353255234,-97.73671771251846,Yatai,30.289963799291513,-97.74198058752387,Japanese Restaurant
North University,30.29665353255234,-97.73671771251846,Sushi Hi,30.295942,-97.742761,Sushi Restaurant
North University,30.29665353255234,-97.73671771251846,Michi Ramen,30.29005739999999,-97.7419481,Ramen Restaurant
North University,30.29665353255234,-97.73671771251846,Korean Komfort,30.30093,-97.73895,Korean Restaurant
North University,30.29665353255234,-97.73671771251846,Kokodak,30.289943,-97.741727,Korean Restaurant
North University,30.29665353255234,-97.73671771251846,Thai Kitchen,30.296772442633426,-97.74180623939364,Thai Restaurant
North University,30.29665353255234,-97.73671771251846,Madam Mam's,30.290618,-97.74252,Thai Restaurant
North University,30.29665353255234,-97.73671771251846,Pad Thai,30.29958160670869,-97.74031572273279,Thai Restaurant
North University,30.29665353255234,-97.73671771251846,Yaya Cafe,30.302483019674117,-97.73852966986539,Vietnamese Restaurant
North University,30.29665353255234,-97.73671771251846,Sip Pho,30.295424,-97.74233,Vietnamese Restaurant
St. Johns,30.3303428108519,-97.70003166038428,Shanghai Chinese Restaurant,30.329225702946445,-97.70699295284588,Chinese Restaurant
St. Johns,30.3303428108519,-97.70003166038428,Cho Sun Gal Bi Korean BBQ & Sushi Bar,30.329763262870078,-97.70663870392065,Korean Restaurant
St. Johns,30.3303428108519,-97.70003166038428,Sushi Japon,30.328844372496164,-97.70498204279968,Sushi Restaurant
St. Johns,30.3303428108519,-97.70003166038428,Haeundae Galbi - Korean Barbecue,30.324982,-97.707094,Korean Restaurant
St. Johns,30.3303428108519,-97.70003166038428,Thai Village,30.32625699519032,-97.70777843037378,Thai Restaurant
West Gate,30.22550382558771,-97.79825495038641,Sichuan River,30.230921417203813,-97.80241803862782,Szechuan Restaurant
West Gate,30.22550382558771,-97.79825495038641,Sushi Avenue,30.232327,-97.798663,Sushi Restaurant
West Gate,30.22550382558771,-97.79825495038641,Sap's Fine Thai Cuisine,30.231373533415862,-97.80085508896673,Thai Restaurant
North Shoal Creek,30.367760943162672,-97.73532423506286,Shu Shu's Asian Cuisine,30.36323640037842,-97.7285520710945,Chinese Restaurant
North Shoal Creek,30.367760943162672,-97.73532423506286,Tien Hong Chinese Restaurant,30.363196,-97.728985,Chinese Restaurant
North Shoal Creek,30.367760943162672,-97.73532423506286,Be More Pacific Filipino Kitchen and Bar,30.36078751880612,-97.74154631694154,Filipino Restaurant
North Shoal Creek,30.367760943162672,-97.73532423506286,Zen Japanese Food Fast,30.36013530597533,-97.73740686295062,Japanese Restaurant
North Shoal Creek,30.367760943162672,-97.73532423506286,Pacific Rim Sushi & Yakitori Lounge,30.37189904459804,-97.72738387128969,Sushi Restaurant
North Shoal Creek,30.367760943162672,-97.73532423506286,Tokyo Steakhouse,30.371840411516413,-97.7274086135934,Japanese Restaurant
North Shoal Creek,30.367760943162672,-97.73532423506286,Korea House,30.35931399249228,-97.7342896013102,Korean Restaurant
North Shoal Creek,30.367760943162672,-97.73532423506286,Madam Mam's,30.35958911009257,-97.73471126904451,Thai Restaurant
